Date,91-day Rejection Rate,91-day Wair,182-day Rejection Rate,182-day Wair,364-day Rejection Rate,364-day Wair,91-day Bid-to-cover,182-day Bid-to-cover,364-day Bid-to-cover
2019-02-11,0.0,5.55,0.0,5.933,0.0,5.9830000000000005,1.224,1.9281666666666666,1.425375
2019-02-18,26.833333333333332,5.733,0.0,5.978,34.55642121135964,6.052,1.1716666666666666,2.312333333333333,0.99475
2019-03-04,100.0,,34.35,5.975,100.0,,1.4821666666666666,1.9281666666666666,1.4175
2019-03-11,0.0,5.716,0.0,5.936,0.0,6.018,1.1241666666666668,1.9908333333333332,1.635125
2019-03-18,43.56666666666666,5.7860000000000005,17.333333333333336,5.987,36.3,6.051,1.1143333333333334,1.58,1.09575
2019-03-25,42.41666666666667,5.787,42.41666666666667,5.9270000000000005,0.0,6.0440000000000005,1.1008333333333333,1.1008333333333333,1.60225
2019-04-01,0.0,5.635,0.0,5.958,0.0,5.961,2.202,1.3544,1.6933333333333334
2019-04-08,0.0,5.612,44.800000000000004,5.982,27.04987320371936,6.052,2.40025,1.068,0.9858333333333333
2019-04-15,0.0,5.614,34.72,5.987,100.0,,2.39675,1.5638,1.2296666666666667
2019-04-22,0.0,5.608,38.019999999999996,5.9959999999999996,100.0,,2.64825,1.6698,1.2766666666666666
2019-04-29,0.0,5.563,0.0,5.978,33.166666666666664,6.085,2.4625,2.1894,1.41
2019-05-06,0.0,5.438,0.0,5.825,0.0,5.976999999999999,3.931,2.9786,3.4275
2019-05-14,0.0,5.389,0.0,5.768,0.0,5.936,4.9625,3.1576,3.1683333333333334
2019-05-20,0.0,5.258,0.0,5.7,0.0,5.869,4.04,3.5876,2.695
2019-05-27,0.0,5.1499999999999995,0.0,5.59,0.0,5.683,2.6405,2.2836,4.316
2019-06-03,0.0,4.992,0.0,5.4,0.0,5.498,2.305,3.109,4.1375
2019-06-10,0.0,4.555,0.0,4.923,0.0,5.069,1.95,4.0264,4.3213333333333335
2019-06-17,0.0,4.453,0.0,4.856,0.0,5.050000000000001,1.8625,3.576,2.9556666666666667
2019-06-25,0.0,4.385,0.0,4.723,0.0,4.986,2.785,3.37,3.6693333333333333
2019-07-08,0.0,3.8830000000000005,0.0,4.238,0.0,4.736,2.5925,3.83,3.5016666666666665
2019-07-22,0.0,3.769,0.0,4.1000000000000005,0.0,4.519,3.1025,5.132,6.042
2019-08-05,0.0,3.398,0.0,3.6769999999999996,0.0,3.898,3.338,5.5258,7.6915
2019-08-19,0.0,3.254,0.0,3.4709999999999996,0.0,3.636,2.69,2.822,3.4808333333333334
2019-09-02,0.0,3.1489999999999996,0.0,3.4290000000000003,0.0,3.659,2.8375,2.924,2.3801666666666668
2019-09-16,0.0,3.037,0.0,3.42,33.61666666666667,3.666,2.975,2.55,1.7338333333333333
2019-10-07,0.0,2.995,0.0,3.1710000000000003,0.0,3.5770000000000004,1.83125,2.125,2.3793333333333333
2019-10-21,100.0,2.995,0.0,3.174,0.0,3.576,2.70625,2.735,3.6201666666666665
2019-11-04,100.0,2.995,36.666666666666664,3.198,0.0,3.5130000000000003,1.1025,1.6416666666666666,2.978
2019-11-18,0.0,3.168,33.5,3.2489999999999997,0.0,3.501,2.30625,2.1233333333333335,4.155
2019-12-02,0.0,3.1919999999999997,0.0,3.3480000000000003,0.0,3.4750000000000005,1.3075,1.1378333333333333,3.8501666666666665
2020-01-06,0.0,3.179,0.0,3.435,11.200000000000001,3.624,1.6611666666666667,1.38,1.06925
2020-01-14,0.0,3.328,19.166666666666668,3.5869999999999997,18.855218855218855,3.8960000000000004,1.499,1.1333333333333333,0.928125
2020-01-20,0.0,3.39,49.666666666666664,3.6519999999999997,28.9375,3.971,2.3211666666666666,1.3783333333333334,1.413125
2020-01-27,0.0,3.2969999999999997,0.0,3.5970000000000004,0.0,3.963,3.1386666666666665,1.9991666666666668,1.711125
2020-02-03,0.0,3.1870000000000003,0.0,3.5229999999999997,0.0,3.964,3.4911666666666665,2.633166666666667,1.56525
2020-02-10,0.0,3.115,0.0,3.4610000000000003,0.0,3.9079999999999995,3.0675,2.8033333333333332,2.635
2020-02-17,0.0,3.072,0.0,3.42,0.0,3.836,3.633,3.465333333333333,4.469375
2020-02-24,0.0,3.003,0.0,3.3649999999999998,0.0,3.787,3.5993333333333335,3.51,3.52625
2020-03-02,0.0,3.013,0.0,3.324,-40.0,3.6839999999999997,2.1355,2.416333333333333,4.1325
2020-03-09,0.0,3.024,0.0,3.312,0.0,3.588,1.6916666666666667,2.0321666666666665,3.835
2020-03-16,100.0,,0.0,3.398,0.0,3.557,0.8283333333333334,1.875,3.2575
2020-03-23,100.0,,100.0,,100.0,,1.255,0.6866666666666666,0.35625
2020-03-30,100.0,,100.0,,100.0,,0.76,0.812,1.11
2020-04-06,0.0,3.4130000000000003,0.0,3.553,0.0,3.8449999999999998,1.595,2.183,2.162
2020-04-13,0.0,3.4709999999999996,0.0,3.4090000000000003,0.0,3.685,1.548,3.2386,3.7952
2020-04-20,0.0,3.113,0.0,3.2390000000000003,0.0,3.295,4.715714285714285,3.017857142857143,2.5864
2020-04-27,0.0,2.617,0.0,2.831,0.0,3.0540000000000003,4.1618571428571425,1.0,3.4445
2020-05-04,0.0,2.479,0.0,2.625,0.0,2.945,3.5354285714285716,4.772857142857143,4.177
2020-05-11,0.0,2.2689999999999997,0.0,2.374,0.0,2.761,4.4644,3.903,1.0
2020-05-18,0.0,2.09,0.0,2.193,0.0,2.653,4.204857142857143,4.814285714285714,4.0771
2020-05-25,0.0,2.0580000000000003,0.0,2.114,0.0,2.508,3.98,4.12,1.0
2020-06-01,0.0,2.046,0.0,2.118,0.0,2.42,2.4785714285714286,3.11,3.649642857142857
2020-06-08,0.0,2.038,-40.0,2.099,0.0,2.378,3.107285714285714,3.875,3.9214285714285713
2020-06-15,0.0,2.035,0.0,2.101,0.0,2.35,4.0854,3.123,4.5947
2020-06-22,0.0,2.068,0.0,2.1590000000000003,0.0,2.408,3.1808,2.337,4.1283
2020-06-29,0.0,1.746,0.0,1.892,0.0,1.9800000000000002,4.105714285714286,6.4346,5.038428571428572
2020-07-06,0.0,1.649,0.0,1.7500000000000002,0.0,1.855,4.665285714285714,4.9391428571428575,4.9669
2020-07-13,0.0,1.587,0.0,1.687,0.0,1.7819999999999998,4.213,5.42,4.5809
2020-07-20,0.0,1.4540000000000002,0.0,1.625,0.0,1.77,4.6828,3.7704,3.0201
2020-07-27,0.0,1.335,0.0,1.6049999999999998,0.0,1.7579999999999998,4.3582,3.33,2.5957
2020-08-03,0.0,1.221,0.0,1.4540000000000002,0.0,1.7489999999999999,5.102,4.717,2.731
2020-08-10,0.0,1.113,0.0,1.3860000000000001,0.0,1.746,3.387,3.4156,2.6285
2020-08-17,0.0,1.118,0.0,1.388,0.0,1.745,3.5084,3.004,3.0744
2020-08-24,0.0,1.131,0.0,1.407,0.0,1.7510000000000001,2.4356,2.3322,2.6438
2020-08-31,0.0,1.18,0.0,1.421,0.0,1.788,3.0426,3.0526,2.526
2020-09-07,0.0,1.167,0.0,1.518,0.0,1.807,3.8056,2.2016,2.6651
2020-09-14,0.0,1.15,0.0,1.5890000000000002,100.0,,3.759,2.6268,1.4705
2020-09-21,0.0,1.1560000000000001,0.0,1.6150000000000002,0.0,1.8499999999999999,5.3862,2.8014,3.1961
2020-09-28,0.0,1.121,0.0,1.601,0.0,1.8579999999999999,3.797142857142857,3.1366,2.9678
2020-10-05,0.0,1.1159999999999999,0.0,1.6,0.0,1.7999999999999998,3.605,5.8328,4.4459
2020-10-12,0.0,1.088,0.0,1.598,0.0,1.7930000000000001,4.182,4.8572,3.4712
2020-10-19,0.0,1.086,0.0,1.5970000000000002,0.0,1.7930000000000001,4.374,4.3264,2.546
2020-10-26,0.0,1.079,0.0,1.543,0.0,1.791,4.688,5.5152,3.0809
2020-11-02,0.0,1.058,0.0,1.4989999999999999,0.0,1.7590000000000001,4.9974,4.445714285714286,4.062
2020-11-09,0.0,1.024,0.0,1.4529999999999998,0.0,1.745,4.722571428571428,5.364,4.1495
2020-11-16,0.0,1.019,0.0,1.443,0.0,1.745,3.5187142857142857,4.4492,3.353
2020-11-23,0.0,0.9860000000000001,0.0,1.385,0.0,1.695,3.77,4.16,3.377
2020-11-30,0.0,1.006,0.0,1.3860000000000001,0.0,1.693,3.8642,4.082,3.6175
2020-12-07,0.0,1.015,0.0,1.399,0.0,1.695,3.422,3.1166,4.2097
2020-12-14,0.0,1.022,0.0,1.4000000000000001,0.0,1.686,3.2436,2.968,4.4943
2021-01-04,0.0,0.987,0.0,1.369,0.0,1.614,2.773285714285714,3.0242857142857145,4.3055
2021-01-11,0.0,0.9769999999999999,0.0,1.3599999999999999,0.0,1.6049999999999998,4.29,3.1742857142857144,4.3045
2021-01-18,0.0,0.984,0.0,1.348,0.0,1.582,3.552,3.4708571428571426,4.5055
2021-01-25,0.0,0.9690000000000001,0.0,1.323,0.0,1.542,3.466,4.503857142857143,6.3355
2021-02-01,0.0,0.9169999999999999,0.0,1.21,0.0,1.492,2.7942857142857145,4.779428571428571,5.063
2021-02-08,0.0,0.8460000000000001,0.0,1.094,0.0,1.4460000000000002,1.0,4.262,4.3915
2021-02-15,0.0,0.845,0.0,1.046,0.0,1.4160000000000001,2.492857142857143,4.292857142857143,4.111
2021-02-22,0.0,0.8750000000000001,0.0,1.0670000000000002,0.0,1.5270000000000001,2.5226,2.6254,2.4311
2021-03-01,0.0,1.04,0.0,1.226,0.0,1.68,1.519,1.6924,2.4995
2021-03-08,0.0,1.139,0.0,1.316,0.0,1.8519999999999999,2.8934,2.183,1.862
2021-03-15,0.0,1.232,0.0,1.5270000000000001,0.0,1.9900000000000002,2.6916,1.7264,2.034
2021-03-22,0.0,1.336,0.0,1.718,0.0,1.997,2.5144,4.5276,2.8798
2021-03-29,0.0,1.269,0.0,1.609,0.0,1.8950000000000002,3.193857142857143,3.0724285714285715,3.5466
2021-04-05,0.0,1.295,0.0,1.646,0.0,1.9120000000000001,2.53,2.089,3.1771666666666665
2021-04-12,0.0,1.325,0.0,1.695,0.0,1.9029999999999998,2.2064,1.98075,2.3220833333333335
2021-04-19,0.0,1.349,0.0,1.7129999999999999,0.0,1.884,2.97,2.70025,2.933333333333333
2021-04-26,0.0,1.369,0.0,1.714,0.0,1.8800000000000001,3.075,3.280625,2.498
2021-05-03,0.0,1.306,-40.0,1.629,0.0,1.863,3.62,4.759375,3.1554166666666665
2021-05-10,-40.0,1.278,-40.0,1.549,0.0,1.8290000000000002,4.6344,3.928875,3.553
2021-05-17,0.0,1.27,-40.0,1.54,0.0,1.81,3.071,3.138625,3.4691666666666667
2021-05-24,0.0,1.269,0.0,1.541,0.0,1.796,3.3922,2.536,3.21625
2021-05-31,-40.0,1.2349999999999999,-40.0,1.472,-40.0,1.7229999999999999,4.43,5.482,7.5226
2021-06-07,-40.0,1.176,-40.0,1.422,-40.0,1.649,5.2718,5.772,7.46
2021-06-14,-40.0,1.118,0.0,1.3719999999999999,-40.0,1.577,5.6458,6.8074,7.606
2021-06-21,0.0,1.078,0.0,1.348,0.0,1.5630000000000002,3.15,3.7934,3.478142857142857
2021-06-28,0.0,1.031,0.0,1.332,0.0,1.562,3.9498,3.6854,3.078
2021-07-05,0.0,1.044,0.0,1.351,0.0,1.568,3.31,3.2224,3.3322
2021-07-12,0.0,1.068,0.0,1.384,0.0,1.593,2.94,2.9596,2.518
2021-07-19,0.0,1.082,0.0,1.082,0.0,1.629,3.409,3.176,2.563
2021-07-26,0.0,1.05,0.0,1.407,0.0,1.638,3.6654,2.75,2.19
2021-08-02,0.0,1.053,0.0,1.401,0.0,1.6320000000000001,3.2504,3.896,3.0064
2021-08-09,0.0,1.064,0.0,1.407,0.0,1.625,3.44,3.442,4.089
2021-08-16,0.0,1.0659999999999998,0.0,1.407,0.0,1.617,3.4942,3.696,3.465
2021-08-23,0.0,1.077,0.0,1.4080000000000001,0.0,1.6119999999999999,2.9212,3.8042,3.448
2021-08-31,0.0,1.077,0.0,1.405,0.0,1.616,3.1168,4.5292,3.391
2021-09-06,0.0,1.078,0.0,1.405,0.0,1.609,2.8768,4.268,4.237
2021-09-13,0.0,1.079,0.0,1.402,0.0,1.6039999999999999,3.529,5.0624,4.0632
2021-09-20,0.0,1.0699999999999998,0.0,1.389,0.0,1.5970000000000002,4.324,5.294,4.884
2021-09-27,0.0,1.06,0.0,1.385,-40.0,1.582,3.448,4.301,5.024
2021-10-04,0.0,1.085,0.0,1.391,0.0,1.584,2.6026,4.4836,4.185
2021-10-11,0.0,1.095,0.0,1.391,0.0,1.587,2.274,3.6728,3.372
2021-10-18,0.0,1.113,0.0,1.39,0.0,1.6039999999999999,1.736,3.3736,2.108
2021-10-25,0.0,1.119,0.0,1.387,0.0,1.606,1.86,2.8402,2.244
2021-11-02,0.0,1.13,0.0,1.395,0.0,1.6129999999999998,2.6162,2.9872,2.752
2021-11-08,0.0,1.143,0.0,1.401,0.0,1.616,2.9062,3.052,2.545
