Date,ISIN,Maturity Date,91-day Rejection Rate,91-day Wair,182-day Rejection Rate,182-day Wair,364-day Rejection Rate,364-day Wair,91-day Volume awarded,182-day Volume awarded,364-day Volume awarded,91-day Tenders per tenor,182-day Tenders per tenor,364-day Tenders per Tenor,91-day Total offers,182-day Total Offers,364-day Total offers,91-day Bid-to-cover,182-day Bid-to-cover,364-day Bid-to-cover
2016-03-14,PIBL0316C030,2016-06-15,0,1.469,0,1.5890000000000002,0,1.7500000000000002,8000,6000,6000,23230.0,8340.0,8150.0,8000.0,6000.0,6000.0,2.90375,1.39,1.3583333333333334
2016-04-04,PIBL1215G076,2016-07-06,0,1.551,56.481481481481474,1.7579999999999998,0,1.779,8000,2350,6000,14310.0,5400.0,8020.0,8000.0,6000.0,6000.0,1.78875,0.9,1.3366666666666667
2016-05-02,PIBL1215H083,2016-08-03,27.474999999999998,1.6740000000000002,0,1.6500000000000001,0,1.8659999999999999,5802,6000,6000,9522.0,12960.0,10690.0,8000.0,6000.0,6000.0,1.19025,2.16,1.7816666666666667
2016-06-06,PIBL1215I091,2016-09-07,0,1.5879999999999999,0,1.617,0,1.925,8000,6000,6000,17586.0,12176.0,8290.0,8000.0,6000.0,6000.0,2.19825,2.029333333333333,1.3816666666666666
2016-07-18,PIBL0316G045,2016-10-19,0,1.447,0,1.442,0,1.63,8000,6000,6000,15860.0,18340.0,12890.0,8000.0,6000.0,6000.0,1.9825,3.0566666666666666,2.1483333333333334
2016-08-10,PIBL0316H053,2016-11-09,0,1.4789999999999999,0,1.474,0,1.7239999999999998,8000,6000,6000,17843.0,17040.0,11285.0,8000.0,6000.0,6000.0,2.230375,2.84,1.8808333333333334
2016-09-26,PIBL0316I061,2016-12-28,0,1.321,0,1.439,0,1.683,8000,6000,6000,21128.0,15900.0,15451.0,8000.0,6000.0,6000.0,2.641,2.65,2.5751666666666666
2016-10-17,PIBL1216A015,2017-01-18,0,1.281,0,1.505,34.833333333333336,1.8800000000000001,8000,6000,3910,16310.0,9800.0,6710.0,8000.0,6000.0,6000.0,2.03875,1.6333333333333333,1.1183333333333334
2016-11-14,PIBL0316K077,2017-02-15,0,1.484,26.666666666666668,1.809,100,,8000,4400,0,16320.0,6800.0,4460.0,8000.0,6000.0,6000.0,2.04,1.1333333333333333,0.7433333333333333
2016-12-05,PIBL0316L085,2017-03-08,0,1.555,41.39517056343426,1.876,100,,8000,3058,0,11210.0,5218.0,3550.0,8000.0,6000.0,6000.0,1.40125,0.8696666666666667,0.5916666666666667
2017-01-16,PIBL0616J02,2017-04-19,14.942528735632186,1.7999999999999998,9.656652360515022,2.037,60.40268456375839,2.276,3700,4210,1180,4350.0,4660.0,2980.0,6000.0,5000.0,4000.0,0.725,0.932,0.745
2017-01-31,PIBL1216E057,2017-05-03,0,1.9980000000000002,21.3,2.252,61.13164628945123,2.571,6000,3935,1367,8860.0,5685.0,3517.0,6000.0,5000.0,4000.0,1.4766666666666666,1.137,0.87925
2017-02-13,PIBL0616K089,2017-05-01,28.416666666666668,2.252,28.599999999999998,2.467,-158.27586206896552,2.766,4295,3570,3745,8655.0,5020.0,1450.0,6000.0,5000.0,4000.0,1.4425,1.004,0.3625
2017-02-27,PIBL0317C010,2017-05-31,0,2.36,51.4,2.587,0,2.763,6000,2430,4000,8570.0,5130.0,9405.0,6000.0,5000.0,4000.0,1.4283333333333332,1.026,2.35125
2017-03-13,PIBL0317C029,2017-06-14,0,2.374,0,2.606,0,2.799,6000,5000,4000,17443.0,11235.0,6665.0,6000.0,5000.0,4000.0,2.9071666666666665,2.247,1.66625
2017-04-10,PIBL0317D037,2017-07-12,0,2.394,0,2.608,21.25,2.945,6000,5000,3150,18530.0,10420.0,5300.0,6000.0,5000.0,4000.0,3.0883333333333334,2.084,1.325
2017-04-24,PIBL0317D046,2017-07-26,0,2.299,0,2.638,0,2.989,6000,5000,4000,21155.0,9032.0,6415.0,6000.0,5000.0,4000.0,3.5258333333333334,1.8064,1.60375
2017-05-08,PIBL1216H081,2017-08-09,0,2.205,0,2.6020000000000003,0,2.9659999999999997,6000,5000,4000,17513.0,7501.0,9495.0,6000.0,5000.0,4000.0,2.918833333333333,1.5002,2.37375
2017-05-22,PIBL0317E054,2017-08-23,0,2.1479999999999997,0,2.494,0,2.835,6000,5000,4000,23946.0,13945.0,17225.0,6000.0,5000.0,4000.0,3.991,2.789,4.30625
2017-06-05,PIBL0317F062,2017-09-06,0,2.103,0,2.456,0,2.85,6000,5000,4000,25080.0,14677.0,12069.0,6000.0,5000.0,4000.0,4.18,2.9354,3.01725
2017-06-19,PIBL0317F071,2017-09-20,0,2.084,0,2.421,0,2.875,6000,5000,4000,21679.0,18902.0,12376.0,6000.0,5000.0,4000.0,3.613166666666667,3.7804,3.094
2017-07-03,PIBL0317G089,2017-10-04,0,2.1260000000000003,17.380000000000003,2.496,40.75,2.926,6000,4131,2370,12005.0,5631.0,6902.0,6000.0,5000.0,4000.0,2.0008333333333335,1.1262,1.7255
2017-07-17,PIBL1216J105,2017-10-18,31.216666666666665,2.189,100,,9.75,2.995,4127,0,3610,9162.0,3550.0,5930.0,6000.0,5000.0,4000.0,1.527,0.71,1.4825
2017-07-31,PIBL0317H097,2017-11-02,0,2.176,0,2.529,0,2.972,6000,5000,4000,15801.0,7940.0,8178.0,6000.0,5000.0,4000.0,2.6335,1.588,2.0445
2017-08-14,PIBL0317H104,2017-11-15,0,2.161,0,2.577,0,2.946,6000,5000,4000,16196.0,6179.0,9917.0,6000.0,5000.0,4000.0,2.699333333333333,1.2358,2.47925
2017-08-29,PIBL0317H113,2017-11-29,0,2.1430000000000002,0,2.5919999999999996,0,2.935,6000,5000,4000,20867.0,11610.0,11229.0,6000.0,5000.0,4000.0,3.4778333333333333,2.322,2.80725
2017-09-11,PIBL0317I121,2017-12-13,0,2.088,0,2.564,0,2.92,6000,5000,4000,29429.0,11035.0,11790.0,6000.0,5000.0,4000.0,4.904833333333333,2.207,2.9475
2017-09-25,PIBL0317I130,2017-12-27,0,2.032,0,2.522,0,2.861,6000,5000,4000,32576.0,20416.0,15310.0,6000.0,5000.0,4000.0,5.429333333333333,4.0832,3.8275
2017-10-09,PIBL0317J148,2018-01-10,0,1.958,0,2.4570000000000003,0,2.82,6000,5000,4000,27810.0,17729.0,12865.0,6000.0,5000.0,4000.0,4.635,3.5458,3.21625
2017-10-23,PIBL0317J157,2018-01-24,0,1.957,0,2.4570000000000003,0,2.8529999999999998,6000,5000,4000,25465.0,14027.0,12629.0,6000.0,5000.0,4000.0,4.244166666666667,2.8054,3.15725
2017-11-16,PIBL1217B030,2018-02-14,0,2.1479999999999997,0,2.563,25.033333333333335,2.952,8000,6000,4498,12925.0,10868.0,6148.0,8000.0,6000.0,6000.0,1.615625,1.8113333333333332,1.0246666666666666
