"Auction Date","Tenor (in years)","Bid-to-Cover","WAIR","Rejection Rates"
2022-03-08,7,1.03731428571429,NA,1
2022-03-15,5,1.00871428571429,"4.6690000000000002E-2",0.627571428571429
2022-03-22,7,1.15997142857143,"5.6009999999999997E-2",0.551457142857143
2022-03-29,10,1.65471428571429,"6.0920000000000002E-2",0
2022-04-05,3,1.5308,"4.2099999999999999E-2",0.263114285714286
2022-04-12,5,1.31162857142857,"4.9680000000000002E-2",0.370657142857143
2022-04-19,7,1.35245714285714,"5.7790000000000001E-2",0
2022-04-26,10,1.6116,"6.3130000000000006E-2",0.498314285714286
2022-05-04,3,1.18548571428571,"4.598E-2",0
2022-05-11,10,1.57991428571429,"5.772E-2",0.282857142857143
2022-05-17,7,1.34117142857143,"6.4280000000000004E-2",0.425485714285714
2022-05-24,10,2.08151428571429,"6.8940000000000001E-2",0
2022-05-31,3,1.62645714285714,"4.9939999999999998E-2",0.734142857142857
2022-06-07,7,1.39428571428571,"5.5140000000000002E-2",0.280314285714286
2022-06-14,7,1.77988571428571,"6.7400000000000002E-2",0.4414
2022-06-21,10,1.92268571428571,"7.145E-2",0.00308571428571429
2022-06-28,7,1.77865714285714,NA,1
2022-07-05,7,1.60674285714286,"5.9080000000000001E-2",0
2022-07-12,10,2.62745714285714,"6.7599999999999993E-2",0
2022-07-19,10,3.52337142857143,"6.8650000000000003E-2",0
2022-07-26,25,2.68565714285714,"6.8940000000000001E-2",0
2022-08-02,3.5,3.0378,"5.1529999999999999E-2",0
2022-08-09,10,3.0206,"5.7910000000000003E-2",0
2022-08-16,10,3.68088571428571,"5.8130000000000001E-2",0
2022-08-23,5.5,7.51066666666667,"5.5789999999999999E-2",-4.42403333333333
2022-09-06,3.5,1.16377142857143,NA,1
2022-09-13,10,2.83745714285714,"6.7030000000000006E-2",0
2022-09-20,7,1.56697142857143,"6.5879999999999994E-2",0
2022-09-28,20,1.42814285714286,NA,1
2022-10-04,7,1.1184,"5.7459999999999997E-2",0.347142857142857
2022-10-11,7,1.54585714285714,"6.9430000000000006E-2",0.310714285714286
2022-10-18,10,1.66888571428571,"7.3440000000000005E-2",0
2022-10-25,25,1.34251428571429,"7.8869999999999996E-2",0.253171428571429
2022-11-02,3,1.03817142857143,NA,1
2022-11-08,20,1.18857142857143,"7.1309999999999998E-2",0.124571428571429
2022-11-15,25,2.31294285714286,"8.1680000000000003E-2",0
2022-11-22,20,2.01031428571429,"8.0119999999999997E-2",0.211514285714286
2022-11-29,20,1.87182857142857,"6.5680000000000002E-2",0.343742857142857
2022-12-06,25,2.26971428571429,"7.1889999999999996E-2",0
2023-01-04,7,2.14845714285714,"6.7960000000000007E-2",0
2023-01-10,25,5.29131428571429,"7.1819999999999995E-2",0
2023-01-17,20,3.82705714285714,"6.5250000000000002E-2",-0.4
2023-01-24,10,2.67702857142857,"6.9129999999999997E-2",0
2023-01-31,25,2.25694285714286,"6.1969999999999997E-2",0
2023-02-07,5.5,6.53696666666667,"6.0220000000000003E-2",-4.406
2023-02-21,10,2.63582857142857,"6.2579999999999997E-2",0
2023-02-28,7,2.34396,"6.1719999999999997E-2",0
2023-03-07,10,2.84624,"6.3780000000000003E-2",0
2023-03-14,25,2.1618,"6.1670000000000003E-2",0
2023-03-21,20,1.37648,"6.6309999999999994E-2",0
